Lokasi,Tren,Tanggal Listing,Harga,Harga Asli,Omset 30 Hari,Rata-rata Omset per bulan,Omset Total,Penjualan 30 Hari,Rata-rata Penjualan per bulan,Penjualan Total,Jumlah Stok,Nilai Stok,Rating,Jumlah Ulasan,Wishlist,Category,Harga_encoded,Rata-rata Penjualan per bulan_outlier_flag,Rata-rata Omset per bulan_outlier_flag,Nilai Stok_outlier_flag
KAB. BOGOR,11.0,2023-07-27,58000,120000,34800000,31160344,472062000,600.0,537,8139.0,2482,143956000,4.505000000000001,3245.0,737.0,Sepatu,34910.0,False,False,True
KAB. TANGERANG,-44.0,2024-05-07,3989,15784,690097,1254298,7271947,173.0,314,1823.0,44,175516,4.75,388.0,194.0,Perawatan Wanita,16393.0,False,False,False
KOTA BANDUNG,-19.0,2021-09-22,8500,50000,4292500,5305869,198075500,505.0,624,23303.0,13226,112421000,4.79,6118.0,3982.0,Perawatan Kaki,8500.0,False,False,False
KAB. MOJOKERTO,-23.0,2021-09-02,93500,0,25712500,33549328,1273750500,275.0,358,13623.0,1294,120989000,4.69,6933.0,4183.0,Sepatu,74000.0,False,False,False
KOTA JAKARTA SELATAN,-39.0,2022-10-16,109440,120000,25937280,42757425,1047997440,237.0,390,9576.0,8115,888105600,4.7,4877.0,1748.0,Sepatu,107630.0,False,True,True
KAB. KARANGANYAR,-10.0,2018-03-13,117810,119000,8823969,9839699,783200880,74.0,83,6648.0,4603,542279430,4.505000000000001,2955.0,1579.0,Sepatu,107910.0,False,False,True
KOTA TANGERANG SELATAN,-44.0,2020-11-10,9900,0,5781600,10437536,497791800,584.0,1054,50282.0,6227,61647300,4.78,13288.0,2231.0,Perawatan Kaki,9900.0,False,False,False
KAB. SIDOARJO,-69.0,2020-10-05,2860,2999,494780,1616576,79018940,173.0,565,27629.0,5374,15369640,4.75,4924.0,494.0,Perawatan Wanita,9999.0,False,False,False
KAB. BANDUNG,-25.0,2022-07-22,7850,20000,4278250,5733331,156560400,545.0,730,19944.0,11275,88508750,4.79,3389.0,1017.0,Tas,24900.0,False,False,False
KOTA SURABAYA,-24.0,2022-11-16,7200,18000,2606400,3429748,80582400,362.0,476,11192.0,656,4723200,4.8,2485.0,402.0,Perawatan Kaki,3013.0,False,False,False
KAB. BANDUNG,157.0,2024-04-03,7550,15000,16640200,6472681,44831900,2204.0,857,5938.0,307,2317850,4.81,1146.0,183.0,Perawatan Wanita,47300.5,False,False,False
KAB. TANGERANG,-58.0,2023-11-03,2042,3200,212980,512081,6105580,104.0,250,2990.0,39,79638,4.74,294.0,38.0,Perawatan Kaki,2150.0,False,False,False
KAB. TANGERANG,151.0,2024-03-01,2181,5999,2381652,946499,7561527,1092.0,433,3467.0,2195,4787295,4.8,488.0,169.0,Perawatan Wanita,16393.0,False,False,False
KAB. TANGERANG,138.0,2024-01-05,37500,0,26662500,11169411,110212500,711.0,297,2939.0,3082,115575000,4.65,1059.0,190.0,Sepatu,110000.0,False,False,False
KAB. TANGERANG,25.0,2024-03-04,3799,5999,1181489,941540,7438442,311.0,247,1958.0,3213,12206187,4.81,318.0,61.0,Perawatan Wanita,16393.0,False,False,False
KAB. TANGERANG,-45.0,2024-01-27,4413,9999,994690,1815760,16619358,225.0,411,3766.0,2592,11438496,4.77,429.0,262.0,Perawatan Kaki,2150.0,False,False,False
KAB. TANGERANG,128.0,2024-01-27,2254,9999,827218,361328,3306618,367.0,160,1467.0,745,1679230,4.84,164.0,78.0,Perawatan Kaki,2150.0,False,False,False
KOTA PONTIANAK,97.0,2024-03-09,7760,7999,4555120,2309803,17840240,587.0,297,2299.0,670,5199200,4.79,486.0,71.0,Perawatan Pria,7760.0,False,False,False
KOTA MALANG,25.0,2024-05-31,3996,9000,2653344,2113183,10601388,664.0,528,2653.0,1700,6793200,4.74,388.0,87.0,Tas,30000.0,False,False,False
