Lokasi,Tren,Tanggal Listing,Harga,Harga Asli,Omset 30 Hari,Rata-rata Omset per bulan,Omset Total,Penjualan 30 Hari,Rata-rata Penjualan per bulan,Penjualan Total,Jumlah Stok,Nilai Stok,Rating,Jumlah Ulasan,Wishlist,Category,Harga_encoded,Rata-rata Penjualan per bulan_outlier_flag,Rata-rata Omset per bulan_outlier_flag,Nilai Stok_outlier_flag
KOTA BEKASI,-32.0,2019-10-14,11,15,49168000,0,0,439.0,581946,34.0,2,0,4.89,10.0,3.0,misc,27850.0,True,False,False
KOTA JAKARTA SELATAN,-23.0,2020-11-03,11,0,18555300,0,0,159.0,197035,9.0,122,0,4.91,1.0,240.0,misc,37200.0,True,False,False
Bandung,58.0,2022-01-25,20,0,107420000,0,0,524.0,216024,6.0,884,0,4.9,884.0,141.0,misc,8650.0,True,False,False
Jakarta Barat,10.0,2022-08-05,25,0,62730000,0,0,246.0,219582,5.0,296,0,4.9,394.0,151.0,misc,11500.0,True,False,False
KOTA BEKASI,56.0,2020-05-18,17,24,21080000,925,0,124.0,54414,2.0,5,0,4.92,617.0,310.0,misc,27850.0,True,False,False
Jakarta Utara,48.0,2020-04-21,18,0,21420000,0,0,119.0,61084,3.0,12,0,4.9,332.0,174.0,misc,23500.0,True,False,False
Jakarta Barat,14.0,2022-04-27,31,0,133964000,0,0,428.0,365907,10.0,1,0,4.91,1.0,374.0,misc,11500.0,True,False,False
Jakarta Utara,-60.0,2022-07-11,59,67,48195000,0,0,81.0,129616,3.0,98,0,4.92,782.0,215.0,misc,23500.0,True,False,False
KOTA JAKARTA PUSAT,-15.0,2024-07-16,50,0,18000000,0,0,36.0,41553,100.0,780,0,4.95,20.0,4.0,misc,15900.0,True,False,False
KOTA JAKARTA PUSAT,8.0,2024-06-05,31,0,20096370,0,0,63.0,57626,217.0,300,0,5.0,19.0,13.0,misc,15900.0,True,False,False
KOTA BEKASI,24.0,2020-05-18,46,66,95472000,0,0,204.0,154567,8.0,2,0,4.95,2.0,945.0,misc,27850.0,True,False,False
KOTA BEKASI,69.0,2020-05-18,24,35,33098000,0,0,134.0,40715,2.0,131,0,4.91,554.0,313.0,misc,27850.0,True,False,False
KOTA JAKARTA BARAT,54.0,2024-04-24,49,71,34300000,0,0,70.0,31946,164.0,18,882,4.95,61.0,18.0,misc,17500.0,True,False,False
KOTA JAKARTA BARAT,19.0,2022-04-13,75,108,31836000,0,0,42.0,33671,994.0,2,0,4.93,251.0,152.0,misc,17500.0,True,False,False
KOTA JAKARTA BARAT,52.0,2021-02-02,14,0,96552000,0,0,648.0,306508,13.0,663,0,4.81,3.0,1.0,Tas,40445.0,True,False,False
KOTA JAKARTA BARAT,57.0,2024-04-24,48,60,9600000,411,0,20.0,8571,44.0,22,0,4.96,24.0,5.0,misc,17500.0,True,False,False
KOTA BANDUNG,3.0,2023-10-06,50,51,93656000,0,0,184.0,177972,2.0,504,0,4.98,462.0,57.0,misc,44000.0,True,False,False
KOTA JAKARTA UTARA,35.0,2020-06-13,52,0,50934700,0,0,97.0,62146,3.0,213,0,4.96,784.0,34.0,misc,50000.0,True,False,False
KAB. BEKASI,-44.0,2022-10-25,20,0,25828770,0,0,123.0,177944,4.0,9,0,4.87,598.0,70.0,misc,35500.0,True,False,False
KOTA SURABAYA,76.0,2020-10-06,35,0,22784000,528,0,64.0,14832,708.0,580,0,4.9,274.0,357.0,misc,16221.5,True,False,False
KOTA JAKARTA UTARA,25.0,2023-03-15,53,0,26500000,0,0,50.0,37258,687.0,9,0,4.92,242.0,97.0,misc,50000.0,True,False,False
KOTA BANDUNG,-59.0,2023-10-06,17,0,10500000,0,0,60.0,95571,1.0,889,0,4.93,134.0,33.0,misc,44000.0,True,False,False
KOTA JAKARTA BARAT,-31.0,2020-07-27,45,0,6300000,828,0,14.0,18406,921.0,5,225,4.95,386.0,3.0,misc,17500.0,True,False,False
KOTA JAKARTA UTARA,67.0,2020-02-12,18,0,50040000,0,0,278.0,90829,5.0,3,0,4.88,870.0,854.0,misc,50000.0,True,False,False
KOTA TANGERANG,21.0,2022-12-18,58,0,29050000,0,0,50.0,39387,840.0,1,0,4.92,180.0,34.0,misc,60000.0,True,False,False
KOTA BANDUNG,10.0,2024-06-08,61,0,34770000,0,0,57.0,51147,188.0,23,0,5.0,39.0,31.0,misc,44000.0,True,False,False
KOTA BANDUNG,8.0,2024-07-25,36,37,17759520,0,0,48.0,43775,92.0,399,0,4.95,22.0,19.0,misc,44000.0,True,False,False
KOTA PALEMBANG,52.0,2021-04-13,9,0,20425000,972,0,215.0,102409,4.0,974,0,4.9,987.0,86.0,misc,22750.0,True,False,False
KOTA BEKASI,84.0,2022-03-16,14,20,53361000,832,0,363.0,56654,1.0,925,0,4.94,275.0,136.0,misc,27850.0,True,False,False
KAB. BANTUL,42.0,2021-09-19,39,42,7189920,415,0,18.0,10414,378.0,107,0,4.9,70.0,43.0,misc,59000.0,True,False,False
KOTA BANDUNG,32.0,2024-06-23,20,37,32263000,0,0,154.0,103575,328.0,1,20,4.96,51.0,26.0,misc,44000.0,True,False,False
KOTA JAKARTA BARAT,54.0,2019-11-28,13,0,13905000,638,0,103.0,47292,2.0,45,607,4.92,695.0,507.0,misc,17500.0,True,False,False
KOTA BEKASI,24.0,2020-11-07,63,90,25240000,0,0,40.0,30277,1.0,5,0,4.86,463.0,586.0,misc,27850.0,True,False,False
KOTA BEKASI,50.0,2020-09-09,21,30,86943000,0,0,397.0,195162,9.0,1,0,4.91,3.0,961.0,misc,27850.0,True,False,False
KOTA BEKASI,49.0,2024-05-29,6,17,14810400,744,0,242.0,121646,485.0,300,0,4.89,27.0,11.0,misc,27850.0,True,False,False
KAB. TANGERANG,79.0,2020-10-24,16,0,46035000,959,0,279.0,58162,2.0,107,0,4.96,355.0,203.0,misc,39000.0,True,False,False
KOTA BEKASI,0.0,2024-05-29,6,7,31648400,0,0,508.0,503323,2.0,75,467,4.68,200.0,57.0,misc,27850.0,True,False,False
KOTA TANGERANG,41.0,2022-09-05,332,0,112880000,0,0,34.0,20034,496.0,462,0,4.98,89.0,27.0,misc,60000.0,True,False,False
KOTA JAKARTA PUSAT,-72.0,2024-05-08,31,0,11164650,0,0,35.0,6038,282.0,1,0,4.82,39.0,25.0,misc,15900.0,True,False,False
KOTA BEKASI,37.0,2023-08-06,12,0,7080000,441,0,59.0,36818,506.0,1,0,4.84,86.0,11.0,misc,27850.0,True,False,False
KOTA JAKARTA BARAT,53.0,2022-11-17,144,0,62049000,0,0,43.0,20207,452.0,9,0,4.92,116.0,21.0,misc,17500.0,True,False,False
KOTA BEKASI,57.0,2020-09-30,9,10,123120000,0,0,1.0,577372,27.0,4,0,4.91,10.0,2.0,misc,27850.0,True,False,False
KOTA BEKASI,60.0,2019-08-12,13,15,102680000,0,0,755.0,300438,18.0,936,0,4.92,5.0,1.0,misc,27850.0,True,False,False
KOTA JAKARTA BARAT,-35.0,2022-10-14,2,4,127988000,0,0,4.0,6,145.0,47,0,4.81,7.0,2.0,Tas,40445.0,False,False,False
KOTA JAKARTA BARAT,-90.0,2022-10-14,5,8,133920000,0,0,2.0,4,110.0,38,0,4.79,3.0,1.0,Tas,40445.0,False,False,False
KOTA BEKASI,11.0,2019-10-07,12,24,66688000,0,0,521.0,460421,27.0,546,0,4.91,11.0,3.0,misc,27850.0,True,False,False
KOTA JAKARTA SELATAN,59.0,2019-09-25,2,3,12975000,528,0,519.0,211261,12.0,794,0,4.95,1.0,412.0,misc,37200.0,True,False,False
KOTA BEKASI,-4.0,2022-02-09,11,13,52080000,0,0,465.0,486328,15.0,738,0,4.89,5.0,1.0,misc,27850.0,True,False,False
KAB. KEDIRI,52.0,2023-07-04,21,27,145530000,0,0,693.0,331491,4.0,8,0,4.77,1.0,508.0,misc,34869.5,True,False,False
KAB. BEKASI,-35.0,2023-10-09,11,0,189750000,0,0,1.0,2,27.0,90,0,4.505000000000001,4.0,508.0,misc,35500.0,False,False,False
KAB. GRESIK,-22.0,2024-04-16,23,0,129922820,0,0,542.0,664135,3.0,1,0,4.78,1.0,177.0,Perawatan Wajah,7900.0,True,False,False
KOTA JAKARTA BARAT,-124.0,2022-01-14,35,0,0,0,0,5.0,11,385.0,196,0,4.81,90.0,89.0,misc,17500.0,False,False,False
KOTA JAKARTA PUSAT,56.0,2023-08-31,36,43,0,0,0,7.0,3,41.0,978,0,4.81,14.0,1.0,Perawatan Wajah,5150.0,False,False,False
KAB. BANDUNG,25.0,2023-03-13,17,21,0,0,0,3.0,2,48.0,53,0,4.73,8.0,5.0,misc,52650.0,False,False,False
KOTA CIMAHI,2.0,2023-08-08,92,99,0,0,0,2.0,2,38.0,82,0,4.87,16.0,16.0,misc,176165.0,False,False,False
KOTA JAKARTA UTARA,39.0,2023-07-25,39,0,0,0,0,11.0,6,97.0,40,0,4.93,28.0,12.0,misc,50000.0,False,False,False
KOTA SEMARANG,85.0,2023-08-26,41,0,0,0,0,18.0,2,35.0,33,0,4.91,5.0,2.0,misc,20200.0,False,False,False
KOTA MALANG,26.0,2020-08-11,4,0,0,0,0,19.0,14,718.0,306,0,4.81,35.0,36.0,misc,20250.0,False,False,False
KOTA JAKARTA BARAT,2.0,2022-09-19,100,105,0,0,0,9.0,9,227.0,904,0,4.83,100.0,46.0,misc,17500.0,False,False,False
KOTA MALANG,-14.0,2023-10-09,33,175,0,0,0,14.0,16,187.0,576,0,4.82,86.0,36.0,Perawatan Wajah,9100.0,False,False,False
KOTA JAKARTA TIMUR,34.0,2020-11-14,10,15,0,0,0,3.0,2,106.0,4,0,4.81,21.0,8.0,Tas,60000.0,False,False,False
KAB. BEKASI,-17.0,2023-04-13,54,56,0,0,0,2.0,2,46.0,2,0,4.92,16.0,20.0,misc,35500.0,False,False,False
KOTA SURABAYA,-17.0,2021-05-28,2,0,0,0,0,7.0,8,351.0,7,0,4.93,16.0,2.0,misc,16221.5,False,False,False
KAB. SIDOARJO,71.0,2021-10-19,30,35,0,0,0,1.0,345686,12.0,998,0,4.83,6.0,6.0,misc,16819.0,True,False,False
KAB. TANGERANG,47.0,2023-12-08,75,0,0,0,0,4.0,2,21.0,431,0,4.88,10.0,5.0,misc,39000.0,False,False,False
KAB. TANGERANG,70.0,2021-05-24,81,0,0,0,0,4.0,1,47.0,102,0,4.94,15.0,8.0,misc,39000.0,False,False,False
KOTA SURABAYA,27.0,2023-12-11,188,208,0,0,0,3.0,2,22.0,50,0,4.91,4.0,1.0,misc,16221.5,False,False,False
KOTA SURABAYA,49.0,2018-11-12,20,22,0,0,0,1.0,856376,60.0,1,0,4.92,27.0,5.0,misc,16221.5,True,False,False
Tangerang,52.0,2023-09-30,114,119,0,0,0,1.0,897796,10.0,6,0,4.92,4.0,4.0,Tas,78000.0,True,False,False
Kab. Bekasi,-25.0,2023-10-06,54,56,0,0,0,1.0,1,21.0,1,0,4.92,7.0,7.0,misc,18399.0,False,False,False
KAB. TANGERANG,55.0,2023-07-08,36,0,0,0,0,3.0,1,21.0,30,0,4.83,9.0,1.0,Perawatan Wajah,13341.0,False,False,False
Tangerang Selatan,90.0,2021-02-04,23,0,0,0,0,2.0,260804,11.0,127,0,4.76,2.0,1.0,misc,9998.0,True,False,False
Kab. Tangerang,7.0,2023-12-15,36,0,0,0,0,756.0,697625,6.0,6,0,4.81,2.0,313.0,misc,8719.0,True,False,False
Jakarta Timur,41.0,2020-12-01,1,1,0,0,0,1.0,1,53.0,144,0,4.68,4.0,577.0,misc,36000.0,False,False,False
Bekasi,74.0,2024-01-27,699,1,0,0,0,31.0,8,65.0,0,0,4.71,3.0,472.0,misc,31400.0,False,False,False
Surabaya,70.0,2023-02-17,30,0,0,0,0,1.0,534833,10.0,416,0,4.77,4.0,3.0,misc,10900.0,True,False,False
Kab. Tangerang,2.0,2024-03-22,38,69,0,0,0,1.0,1,6.0,0,0,4.81,2.0,772.0,misc,8719.0,False,False,False
Surabaya,81.0,2022-03-16,50,0,0,0,0,2.0,514795,15.0,1,0,4.87,3.0,4.0,misc,10900.0,True,False,False
Jakarta Pusat,55.0,2024-04-13,36,0,0,0,0,4.0,1,10.0,87,0,4.85,2.0,452.0,misc,16950.0,False,False,False
Kab. Tangerang,50.0,2024-01-27,66,73,0,0,0,1.0,722176,5.0,3,0,4.87,2.0,1.0,misc,8719.0,True,False,False
Kab. Bandung,15.0,2023-11-22,20,35,0,0,0,1.0,1,11.0,53,0,4.7,2.0,1.0,misc,7999.5,False,False,False
Kab. Ponorogo,54.0,2022-10-09,15,35,0,0,0,1.0,587794,13.0,8,0,4.63,3.0,4.0,Tas,30000.0,True,False,False
Kab. Bekasi,43.0,2022-08-07,11,0,0,0,0,2.0,1,33.0,14,0,4.83,6.0,2.0,misc,18399.0,False,False,False
Tangerang,39.0,2023-05-05,30,31,0,0,0,1.0,786936,13.0,407,0,4.84,4.0,2.0,misc,9920.0,True,False,False
Depok,75.0,2022-09-03,59,65,0,0,0,1.0,418595,10.0,123,0,4.93,1.0,927.0,misc,17500.0,True,False,False
Jakarta Barat,-42.0,2023-11-16,56,90,0,0,0,918.0,1,13.0,48,0,4.8,5.0,2.0,misc,11500.0,False,False,False
Kab. Bogor,9.0,2024-05-14,23,45,0,0,0,1.0,969578,4.0,94,0,4.81,1.0,257.0,misc,16900.0,True,False,False
Jakarta Barat,82.0,2022-10-09,15,16,0,0,0,3.0,534592,12.0,449,0,4.505000000000001,4.0,3.0,misc,11500.0,True,False,False
Surabaya,-82.0,2024-05-02,38,0,0,0,0,379.0,690822,3.0,46,0,4.93,1.0,441.0,misc,10900.0,True,False,False
Depok,57.0,2023-08-09,44,55,0,0,0,2.0,985121,13.0,2,89,4.92,5.0,4.0,Tas,159000.0,True,False,False
Bekasi,8.0,2020-11-03,17,22,0,0,0,3.0,2,130.0,41,697,4.92,37.0,8.0,misc,31400.0,False,False,False
Bandung,55.0,2023-06-11,34,39,0,0,0,799.0,352073,5.0,850,0,4.91,1.0,2.0,misc,8650.0,True,False,False
Kab. Tangerang,53.0,2023-07-26,56,0,0,0,0,852.0,393139,5.0,21,0,4.91,1.0,1.0,misc,8719.0,True,False,False
Depok,33.0,2024-06-22,98,199,0,0,0,4.0,3,9.0,268,0,4.79,4.0,1.0,misc,17500.0,False,False,False
Jakarta Timur,83.0,2021-11-28,83,95,0,0,0,1.0,171255,5.0,64,0,4.9,2.0,946.0,misc,36000.0,True,False,False
Depok,35.0,2024-06-24,49,99,0,0,0,4.0,3,9.0,284,0,4.82,3.0,1.0,misc,17500.0,False,False,False
Kab. Sleman,-13.0,2024-07-16,37,67,0,0,0,1.0,2,5.0,4,0,4.83,1.0,969.0,Tas,130000.0,False,False,False
KAB. TANGERANG,88.0,2020-07-11,81,0,0,0,0,1.0,192293,9.0,90,0,4.94,3.0,1.0,misc,39000.0,True,False,False
KOTA JAKARTA BARAT,90.0,2020-05-06,35,36,0,0,0,946.0,88278,4.0,151,0,4.89,1.0,1.0,misc,17500.0,True,False,False
Kab. Pemalang,17.0,2023-03-14,65,0,0,0,0,1.0,927307,17.0,1,0,4.81,6.0,9.0,misc,600.0,True,False,False
KOTA BEKASI,45.0,2023-11-13,7,8,0,0,0,700.0,381452,4.0,1,0,4.92,1.0,749.0,misc,27850.0,True,False,False
KAB. SLEMAN,0.0,2024-07-08,37,57,0,0,0,3.0,2,7.0,2,0,4.84,2.0,2.0,misc,35000.0,False,False,False
KAB. SUMEDANG,-30.0,2023-08-11,11,15,0,0,0,1.0,1,18.0,5,0,4.83,1.0,758.0,misc,34505.5,False,False,False
Kab. Bandung,11.0,2021-02-09,30,35,0,0,0,495.0,436347,19.0,223,0,4.89,5.0,4.0,misc,7999.5,True,False,False
Kab. Tulungagung,-43.0,2024-06-24,24,0,0,0,0,539.0,772197,2.0,398,0,4.94,341.0,138.0,misc,12.5,True,False,False
Kab. Bekasi,-17.0,2024-07-05,54,56,0,0,0,541.0,637947,1.0,559,0,4.95,679.0,370.0,misc,18399.0,True,False,False
Kab. Bojonegoro,68.0,2024-05-13,22,0,0,0,0,2.0,643883,2.0,231,0,4.92,1.0,457.0,misc,10147.5,True,False,False
KOTA JAKARTA UTARA,70.0,2021-04-24,5,7,157213280,0,0,2.0,793959,32.0,2,0,4.89,2.0,505.0,misc,50000.0,True,False,False
KAB. BANDUNG,-11.0,2020-05-04,4,5,180283740,0,0,3.0,4,225.0,32,0,4.75,42.0,19.0,misc,52650.0,False,False,False
KOTA JAKARTA UTARA,1.0,2024-02-11,1,3,94152420,0,0,4.0,4,36.0,12,0,4.87,3.0,696.0,misc,50000.0,False,False,False
KAB. GARUT,10.0,2022-01-05,8,0,147829000,0,0,1.0,1,48.0,174,0,4.63,8.0,19.0,misc,35500.0,False,False,False
KOTA JAKARTA SELATAN,55.0,2020-10-20,2,3,75514820,0,0,2.0,1,52.0,60,0,4.85,1.0,1.0,misc,37200.0,False,False,False
KOTA BANDUNG,9.0,2020-10-09,2,2,121467500,0,0,4.0,3,189.0,20,0,4.92,9.0,3.0,misc,44000.0,False,False,False
KOTA SURABAYA,-82.0,2020-08-22,2,3,33389500,0,0,1.0,2,139.0,14,0,4.86,4.0,3.0,misc,16221.5,False,False,False
KOTA SURABAYA,83.0,2021-09-27,14,27,65660000,0,0,469.0,78971,2.0,17,0,4.82,1.0,195.0,misc,16221.5,True,False,False
KAB. SIDOARJO,81.0,2022-11-12,1,1,80489670,0,0,7.0,1,30.0,0,0,4.8,1.0,428.0,misc,16819.0,False,False,False
KAB. BOGOR,55.0,2021-03-03,11,13,166805600,0,0,1.0,667339,28.0,1,0,4.87,8.0,2.0,misc,36050.0,True,False,False
KAB. BOGOR,31.0,2024-01-30,15,18,115325730,0,0,723.0,497549,3.0,94,0,4.93,1.0,827.0,misc,36050.0,True,False,False
KOTA JAKARTA BARAT,76.0,2023-04-13,9,25,49599000,0,0,501.0,117414,2.0,16,0,4.505000000000001,530.0,208.0,misc,17500.0,True,False,False
KAB. SIDOARJO,38.0,2022-10-14,1,2,45473470,0,0,2.0,1,37.0,16,0,4.85,1.0,725.0,misc,16819.0,False,False,False
KAB. BEKASI,-24.0,2023-03-17,42,0,170898000,0,0,4.0,5,93.0,3,0,4.85,38.0,19.0,misc,35500.0,False,False,False
KOTA JAKARTA BARAT,13.0,2021-09-17,13,0,55216000,0,0,4.0,3,128.0,43,0,4.84,15.0,12.0,misc,17500.0,False,False,False
KOTA BANDUNG,87.0,2020-10-21,39,0,140025900,0,0,3.0,436217,20.0,421,0,4.86,8.0,2.0,misc,44000.0,True,False,False
Jakarta Barat,36.0,2022-06-09,10,0,32293064,0,0,2.0,1,51.0,92,0,4.505000000000001,13.0,4.0,misc,11500.0,False,False,False
Kab. Pati,20.0,2023-04-06,30,97,151410000,0,0,5.0,3,70.0,319,0,4.82,36.0,10.0,misc,15300.0,False,False,False
KOTA SURABAYA,80.0,2019-12-08,44,200,165506322,0,0,3.0,721297,41.0,63,0,4.85,19.0,6.0,misc,16221.5,True,False,False
KAB. TANGERANG,81.0,2022-06-03,32,0,149924915,0,0,4.0,839095,23.0,17,0,4.91,7.0,3.0,misc,39000.0,True,False,False
Bekasi,42.0,2018-12-06,12,0,37222400,0,0,2.0,1,116.0,3,0,4.9,44.0,28.0,misc,31400.0,False,False,False
Bekasi,55.0,2024-03-09,9,0,50048000,0,0,5.0,2,16.0,51,469,4.82,1.0,1.0,misc,31400.0,False,False,False
Tangerang,60.0,2021-04-01,12,0,74787500,0,0,5.0,2,99.0,508,0,4.89,21.0,19.0,misc,9920.0,False,False,False
Kab. Gresik,90.0,2021-04-05,30,45,159427857,0,0,5.0,508323,21.0,37,0,4.7,8.0,2.0,misc,8429.5,True,False,False
Kab. Tangerang,92.0,2021-08-07,51,0,177732582,0,0,3.0,245746,9.0,22,0,4.92,3.0,1.0,misc,8719.0,True,False,False
Bekasi,47.0,2023-02-09,1,5,9001497,0,0,4.0,2,46.0,4,0,4.94,2.0,235.0,misc,31400.0,False,False,False
Jakarta Barat,15.0,2020-08-16,1,0,6017984,0,0,3.0,2,135.0,18,0,4.93,4.0,867.0,misc,11500.0,False,False,False
KOTA JAKARTA TIMUR,78.0,2023-07-30,34,0,133626182,0,0,3.0,826967,11.0,2,0,4.9,2.0,489.0,misc,56400.0,True,False,False
Surabaya,65.0,2024-02-10,8,0,48481224,0,0,5.0,1,14.0,63,566,4.85,2.0,1.0,misc,10900.0,False,False,False
KAB. MALANG,61.0,2024-01-18,8,11,51281800,0,0,5.0,2,18.0,107,0,4.9,4.0,1.0,misc,9589.0,False,False,False
Kab. Kediri,13.0,2024-07-19,39,40,111861168,0,0,2.0,2,5.0,254,0,4.82,2.0,500.0,misc,16900.0,False,False,False
Jakarta Timur,51.0,2024-06-07,20,0,76919337,0,0,3.0,1,6.0,95,0,4.84,2.0,804.0,misc,36000.0,False,False,False
Surabaya,-7.0,2024-07-09,20,0,102240000,0,0,5.0,5,14.0,1,0,4.91,5.0,665.0,misc,10900.0,False,False,False
Kab. Tangerang,87.0,2018-02-13,21,0,89733000,0,0,4.0,534369,42.0,1,0,4.93,5.0,2.0,misc,8719.0,True,False,False
Kab. Bekasi,81.0,2023-10-03,37,39,118721834,0,0,3.0,600514,7.0,464,0,4.88,2.0,556.0,misc,18399.0,True,False,False
Jakarta Pusat,67.0,2024-03-11,21,0,76754279,0,0,3.0,1,7.0,11,239,4.98,229.0,418.0,misc,16950.0,False,False,False
Bekasi,77.0,2022-12-26,1,4,9376880,0,0,4.0,1,22.0,2,0,4.92,1.0,113.0,misc,31400.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,100,0,500000,643,500,5.0,6,5.0,94,0,5.0,6.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,200,0,800000,0,800,4.0,5,4.0,96,0,5.0,3.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,200,0,2082000,0,0,10.0,13,10.0,988,0,5.0,5.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,300,0,2639100,0,0,8.0,11,8.0,0,0,5.0,8.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,175,0,733250,944,733,4.0,5,4.0,85,0,5.0,5.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,200,0,800000,0,800,4.0,5,4.0,92,0,5.0,5.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,200,0,604800,778,604,3.0,3,3.0,96,0,5.0,4.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,300,0,902700,0,902,3.0,3,3.0,996,0,5.0,3.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,200,0,600000,772,600,3.0,3,3.0,93,0,5.0,4.0,0.0,misc,200.0,False,False,False
Kab. Lebak,-28.0,2024-09-05,200,0,600000,771,600,3.0,3,3.0,95,0,5.0,5.0,0.0,misc,200.0,False,False,False
KOTA DENPASAR,-92.0,2021-02-03,59,0,29579507,0,0,493.0,950145,41.0,118,0,4.87,16.0,15.0,misc,29000.0,True,False,False
KOTA SURABAYA,15.0,2022-09-14,2,2,27098277,0,0,12.0,10,256.0,0,0,4.86,13.0,4.0,misc,16221.5,False,False,False
KOTA MADIUN,-2.0,2020-07-06,10,20,44391964,0,0,4.0,4,210.0,64,0,4.86,15.0,28.0,misc,790.0,False,False,False
KOTA JAKARTA SELATAN,15.0,2022-12-03,38,60,25115010,0,0,645.0,545527,11.0,516,0,4.75,4.0,4.0,misc,37200.0,True,False,False
Kab. Sidoarjo,-33.0,2022-06-23,2,0,6702000,0,0,3.0,4,121.0,2,0,4.82,5.0,3.0,misc,16250.0,False,False,False
Surabaya,-37.0,2024-05-16,14,0,4512900,0,0,307.0,420877,1.0,69,0,4.76,364.0,170.0,misc,10900.0,True,False,False
Kab. Tulungagung,79.0,2017-10-08,1,2,18534250,0,0,15.0,3,257.0,1,0,4.67,7.0,6.0,misc,12.5,False,False,False
Jakarta Pusat,-55.0,2023-12-08,2,0,6795828,0,0,3.0,5,50.0,22,0,4.87,2.0,525.0,misc,16950.0,False,False,False
Jakarta Barat,82.0,2022-06-16,30,80,111904890,0,0,3.0,619324,16.0,10,0,4.56,8.0,6.0,misc,11500.0,True,False,False
KAB. SIDOARJO,-21.0,2022-04-03,2,0,9189250,0,0,4.0,5,149.0,46,0,4.85,6.0,2.0,misc,16819.0,False,False,False
KOTA SURABAYA,55.0,2022-09-14,2,0,46730200,0,0,21.0,9,233.0,0,0,4.9,17.0,2.0,misc,16221.5,False,False,False
Surakarta (Solo),85.0,2022-08-06,17,20,64583000,0,0,3.0,547899,14.0,32,0,4.51,4.0,2.0,misc,26980.0,True,False,False
Kab. Sleman,37.0,2020-04-14,50,52,55291600,0,0,1.0,675412,36.0,251,0,4.89,12.0,11.0,misc,18100.0,True,False,False
Jakarta Barat,-77.0,2024-05-18,2,3,4957838,0,0,2.0,4,18.0,397,0,4.85,796.0,328.0,misc,11500.0,False,False,False
Kab. Gresik,77.0,2021-10-30,4,0,13924350,0,0,2.0,625236,21.0,285,0,4.63,2.0,1.0,misc,8429.5,True,False,False
Yogyakarta,57.0,2022-04-24,50,52,43265040,0,0,849.0,364775,10.0,378,0,4.88,3.0,1.0,misc,50.0,True,False,False
Yogyakarta,38.0,2020-04-14,50,52,44437120,0,0,872.0,535689,28.0,381,0,4.89,9.0,7.0,misc,50.0,True,False,False
Yogyakarta,31.0,2023-08-29,34,35,36941100,0,0,1.0,74081,9.0,380,0,4.89,2.0,4.0,misc,50.0,True,False,False
Yogyakarta,25.0,2020-04-14,50,52,28180880,0,0,553.0,412571,22.0,339,0,4.87,7.0,6.0,misc,50.0,True,False,False
Jakarta Timur,31.0,2023-12-06,5,0,4300000,0,0,860.0,587644,5.0,6,0,4.96,219.0,325.0,misc,36000.0,True,False,False
Denpasar,88.0,2019-01-16,53,55,73627400,0,0,1.0,15974,10.0,3,0,4.88,4.0,3.0,misc,12975.0,True,False,False
Jakarta Selatan,-75.0,2024-05-03,97,210,24202800,0,0,249.0,436451,2.0,81,0,4.81,1.0,280.0,misc,23237.5,True,False,False
Jakarta Timur,60.0,2021-02-10,1,0,5958400,0,0,3.0,1,54.0,275,0,4.69,332.0,2.0,misc,36000.0,False,False,False
Kab. Hulu Sungai Selatan,47.0,2021-12-20,1,0,4210800,0,0,3.0,2,67.0,126,0,4.79,1.0,583.0,misc,1.5,False,False,False
Bandung,68.0,2021-12-01,2,4,11358000,0,0,5.0,1,54.0,239,537,4.87,2.0,1.0,misc,8650.0,False,False,False
Kab. Tangerang,71.0,2022-10-13,13,0,32951059,0,0,2.0,697813,16.0,17,0,4.84,4.0,1.0,misc,8719.0,True,False,False
Kab. Boyolali,87.0,2023-05-02,2,0,49230700,0,0,23.0,2,48.0,11,0,4.91,1.0,369.0,misc,16501.0,False,False,False
Kab. Hulu Sungai Selatan,9.0,2022-05-07,2,0,1535000,0,0,614.0,556885,15.0,18,0,4.78,1.0,144.0,misc,1.5,True,False,False
Jakarta Barat,77.0,2022-06-16,19,50,28139000,0,0,1.0,337816,9.0,1,0,4.58,3.0,3.0,misc,11500.0,True,False,False
Kab. Bekasi,-89.0,2021-11-04,2,0,3616228,0,0,1.0,3,108.0,1,0,4.86,5.0,1.0,misc,18399.0,False,False,False
Denpasar,63.0,2022-05-12,53,55,16223900,0,0,301.0,109884,3.0,1,0,4.87,1.0,601.0,misc,12975.0,True,False,False
KOTA SEMARANG,26.0,2023-12-08,2,0,2550000,0,0,1.0,936539,9.0,92,184,4.81,529.0,269.0,misc,20200.0,True,False,False
Malang,-0.0,2022-05-27,2,2,7293900,0,0,3.0,3,86.0,20,0,4.85,3.0,1.0,misc,12999.0,False,False,False
